timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,SMA 20,SMA 10,EMA 20,EMA 10,Real Lower Band 20,Real Upper Band 20,Real Middle Band 20,MACD 20,MACD_Signal 20,MACD_Hist 20,RSI 20
2019-10-31,247.24,249.17,237.26,248.76,61.2786739341,34790520,0.0,1.0,58.4707,59.9726,58.628,59.8821,54.8613,62.0801,58.4707,1.6464,1.559,0.0873,68.9087
2019-11-01,249.54,255.93,249.16,255.82,63.0178097999,37781334,0.0,1.0,58.8255,60.4507,59.0461,60.4523,54.9065,62.7446,58.8255,1.7955,1.6063,0.1892,72.8765
2019-11-04,257.33,257.85,255.38,257.5,63.4316551617,25817952,0.0,1.0,59.2005,60.8693,59.4638,60.994,55.0331,63.3678,59.2005,1.9249,1.67,0.2548,73.7167
2019-11-05,257.05,258.19,256.32,257.13,63.3405106475,19974427,0.0,1.0,59.6036,61.2922,59.833,61.4206,55.4723,63.7349,59.6036,1.997,1.7354,0.2616,73.1911
2019-11-06,256.77,257.49,255.37,257.24,63.3676076653,18966124,0.0,1.0,59.9757,61.6386,60.1696,61.7746,55.8962,64.0552,59.9757,2.0329,1.7949,0.238,73.2508
2019-11-07,258.74,260.35,258.11,259.43,64.096763779,23735083,0.77,1.0,60.3465,62.048,60.5436,62.1968,56.1853,64.5078,60.3465,2.0961,1.8552,0.2409,74.8376
2019-11-08,258.69,260.44,256.85,260.14,64.2721818196,17520495,0.0,1.0,60.6508,62.401,60.8987,62.5742,56.281,65.0206,60.6508,2.1357,1.9113,0.2244,75.21
2019-11-11,258.3,262.47,258.28,262.2,64.7811412051,20507459,0.0,1.0,60.9847,62.7441,61.2685,62.9754,56.428,65.5413,60.9847,2.183,1.9656,0.2174,76.2821
2019-11-12,261.55,262.79,260.92,261.96,64.721844966,21847226,0.0,1.0,61.3224,63.2232,61.5974,63.293,56.7093,65.9354,61.3224,2.1904,2.0106,0.1798,75.8796
2019-11-13,261.13,264.78,261.07,264.47,65.3419847999,25817593,0.0,1.0,61.7028,63.765,61.954,63.6655,57.0814,66.3242,61.7028,2.2207,2.0526,0.1681,77.2036
2019-11-14,263.75,264.88,262.1,262.64,64.8898509768,22395556,0.0,1.0,62.0494,64.1261,62.2336,63.8881,57.5656,66.5331,62.0494,2.1831,2.0787,0.1044,74.0828
2019-11-15,263.68,265.78,263.01,265.76,65.660702085,25093666,0.0,1.0,62.4206,64.3904,62.56,64.2104,58.0327,66.8084,62.4206,2.1903,2.101,0.0892,75.8358
2019-11-18,265.8,267.43,264.23,267.1,65.9917727532,21700897,0.0,1.0,62.7578,64.6464,62.8868,64.5343,58.3608,67.1549,62.7578,2.1973,2.1203,0.077,76.5528
2019-11-19,267.9,268.0,265.39,266.29,65.7916479463,19069597,0.0,1.0,63.0919,64.8915,63.1635,64.7629,58.8412,67.3426,63.0919,2.1618,2.1286,0.0332,75.1343
2019-11-20,265.54,266.08,260.4,263.19,65.0257381914,26609919,0.0,1.0,63.348,65.0574,63.3408,64.8107,59.2833,67.4126,63.348,2.0483,2.1125,-0.0642,69.9152
2019-11-21,263.69,264.01,261.18,262.01,64.7341983492,30348778,0.0,1.0,63.5845,65.1211,63.4735,64.7968,59.7841,67.385,63.5845,1.9127,2.0726,-0.1598,68.0219
2019-11-22,262.59,263.18,260.84,261.78,64.6773727867,16331263,0.0,1.0,63.7813,65.1616,63.5882,64.7751,60.1881,67.3746,63.7813,1.7802,2.0141,-0.2339,67.6461
2019-11-25,262.71,266.44,262.52,266.37,65.8114133593,21029517,0.0,1.0,64.0044,65.2647,63.7999,64.9635,60.4895,67.5193,64.0044,1.7466,1.9606,-0.214,71.0108
2019-11-26,266.94,267.16,262.5,264.29,65.2975126205,26334882,0.0,1.0,64.2727,65.3222,63.9426,65.0242,61.259,67.2865,64.2727,1.6593,1.9003,-0.241,67.6546
2019-11-27,265.58,267.98,265.31,267.84,66.1746028237,16386122,0.0,1.0,64.5852,65.4055,64.1551,65.2334,62.2119,66.9586,64.5852,1.642,1.8487,-0.2067,70.1861
2019-11-29,266.6,268.0,265.9,267.25,66.0288329026,11654363,0.0,1.0,64.8228,65.5194,64.3336,65.378,62.9156,66.7299,64.8228,1.5981,1.7985,-0.2005,69.2381
2019-12-02,267.27,268.25,263.45,264.16,65.2653938244,23693550,0.0,1.0,64.9351,65.4798,64.4223,65.3575,63.2105,66.6598,64.9351,1.4846,1.7357,-0.2512,64.4397
2019-12-03,258.31,259.53,256.29,259.45,64.1017051322,29377268,0.0,1.0,64.9686,65.2908,64.3918,65.1292,63.3387,66.5986,64.9686,1.2859,1.6458,-0.3599,57.9913
2019-12-04,261.07,263.31,260.68,261.74,64.6674900802,16810388,0.0,1.0,65.035,65.1784,64.418,65.0453,63.5765,66.4934,65.035,1.1607,1.5488,-0.3881,60.0379
2019-12-05,263.79,265.89,262.73,265.58,65.6162299056,18661343,0.0,1.0,65.1474,65.2375,64.5322,65.1491,63.8872,66.4076,65.1474,1.1251,1.464,-0.3389,63.2023
2019-12-06,267.48,271.0,267.3,270.71,66.8836870162,26547493,0.0,1.0,65.2868,65.4524,64.7561,65.4645,63.9111,66.6625,65.2868,1.1854,1.4083,-0.2229,66.8893
2019-12-09,270.0,270.8,264.91,266.92,65.9473005739,32182645,0.0,1.0,65.3705,65.5794,64.8696,65.5522,64.0492,66.6918,65.3705,1.1445,1.3555,-0.211,62.0541
2019-12-10,268.6,270.07,265.86,268.48,66.332726128,22632383,0.0,1.0,65.4481,65.6315,65.0089,65.6942,64.0926,66.8036,65.4481,1.1302,1.3105,-0.1803,63.2064
2019-12-11,268.81,271.1,268.5,270.77,66.8985110759,19723391,0.0,1.0,65.5569,65.7916,65.1889,65.9131,64.106,67.0079,65.5569,1.1512,1.2786,-0.1274,64.8557
2019-12-12,267.78,272.56,267.32,271.46,67.0689877633,34437042,0.0,1.0,65.6433,65.8811,65.3679,66.1233,64.0547,67.2319,65.6433,1.1682,1.2565,-0.0884,65.3483
2019-12-13,271.46,275.3,270.93,275.15,67.9806674393,33432806,0.0,1.0,65.7978,66.0763,65.6168,66.461,63.952,67.6437,65.7978,1.2409,1.2534,-0.0125,67.8826
2019-12-16,277.0,280.79,276.98,279.86,69.1443561315,32081105,0.0,1.0,65.972,66.4642,65.9527,66.9489,63.6221,68.3219,65.972,1.3765,1.278,0.0985,70.7563
2019-12-17,279.57,281.77,278.8,280.41,69.280243346,28575798,0.0,1.0,66.1364,66.982,66.2696,67.3728,63.3792,68.8937,66.1364,1.4779,1.318,0.1599,71.0744
2019-12-18,279.8,281.9,279.12,279.74,69.1147080119,29024687,0.0,1.0,66.3026,67.4267,66.5406,67.6895,63.2625,69.3427,66.3026,1.5273,1.3599,0.1675,70.0966
2019-12-19,279.5,281.18,278.95,280.02,69.1838869575,24626947,0.0,1.0,66.5105,67.7835,66.7923,67.9612,63.285,69.736,66.5105,1.5542,1.3987,0.1554,70.2765
2019-12-20,282.23,282.65,278.56,279.44,69.0405877131,69032743,0.0,1.0,66.7258,67.9992,67.0065,68.1574,63.4292,70.0224,66.7258,1.546,1.4282,0.1179,69.3666
2019-12-23,280.53,284.25,280.37,284.0,70.1672162557,24677883,0.0,1.0,67.0003,68.4212,67.3075,68.5229,63.5224,70.4782,67.0003,1.6119,1.4649,0.147,72.3312
2019-12-24,284.69,284.89,282.92,284.27,70.2339245247,12119714,0.0,1.0,67.2214,68.8113,67.5862,68.834,63.5189,70.9239,67.2214,1.6505,1.5021,0.1485,72.4971
2019-12-26,284.82,289.98,284.7,289.91,71.6273861433,23334004,0.0,1.0,67.5379,69.2842,67.9711,69.3419,63.482,71.5938,67.5379,1.7731,1.5563,0.2168,75.7006
2019-12-27,291.12,293.97,288.12,289.8,71.6002087004,36592936,0.0,1.0,67.8092,69.7373,68.3167,69.7525,63.4406,72.1778,67.8092,1.8467,1.6144,0.2324,75.52
2019-12-30,289.46,292.69,285.22,291.52,72.0251650805,36059614,0.0,1.0,68.109,70.1418,68.6699,70.1657,63.4565,72.7615,68.109,1.9173,1.6749,0.2424,76.4449
2019-12-31,289.93,293.68,289.52,293.65,72.5514192025,25247625,0.0,1.0,68.4733,70.4825,69.0396,70.5995,63.6313,73.3153,68.4733,1.9927,1.7385,0.2542,77.5505
2020-01-02,296.24,300.6,295.19,300.35,74.2067725437,33911864,0.0,1.0,68.9786,70.9751,69.5317,71.2553,63.961,73.9961,68.9786,2.1612,1.823,0.3381,80.5703
2020-01-03,297.15,300.58,296.5,297.43,73.4853349681,36633878,0.0,1.0,69.4195,71.4122,69.9082,71.6608,64.4452,74.3937,69.4195,2.2109,1.9006,0.3103,75.8874
